escala,versao,threads,schedule,chunk,arquivos,bytes,repeticao,tempo_s
forte,openmp,8,static,4,1024,105775104,15,0.029218
forte,openmp,8,static,16,1024,105775104,1,0.029323
forte,openmp,8,static,16,1024,105775104,2,0.032159
forte,openmp,8,static,16,1024,105775104,3,0.029497
forte,openmp,8,static,16,1024,105775104,4,0.028313
forte,openmp,8,static,16,1024,105775104,5,0.028198
forte,openmp,8,static,16,1024,105775104,6,0.029036
forte,openmp,8,static,16,1024,105775104,7,0.029876
forte,openmp,8,static,16,1024,105775104,8,0.030046
forte,openmp,8,static,16,1024,105775104,9,0.030556
forte,openmp,8,static,16,1024,105775104,10,0.030392
forte,openmp,8,static,16,1024,105775104,11,0.028701
forte,openmp,8,static,16,1024,105775104,12,0.029509
forte,openmp,8,static,16,1024,105775104,13,0.028948
forte,openmp,8,static,16,1024,105775104,14,0.030369
forte,openmp,8,static,16,1024,105775104,15,0.030361
forte,openmp,8,dynamic,1,1024,105775104,1,0.028459
forte,openmp,8,dynamic,1,1024,105775104,2,0.028514
forte,openmp,8,dynamic,1,1024,105775104,3,0.027990
forte,openmp,8,dynamic,1,1024,105775104,4,0.028618
forte,openmp,8,dynamic,1,1024,105775104,5,0.028643
forte,openmp,8,dynamic,1,1024,105775104,6,0.028284
forte,openmp,8,dynamic,1,1024,105775104,7,0.028551
forte,openmp,8,dynamic,1,1024,105775104,8,0.028457
forte,openmp,8,dynamic,1,1024,105775104,9,0.028502
forte,openmp,8,dynamic,1,1024,105775104,10,0.028373
forte,openmp,8,dynamic,1,1024,105775104,11,0.028357
forte,openmp,8,dynamic,1,1024,105775104,12,0.030314
forte,openmp,8,dynamic,1,1024,105775104,13,0.028187
forte,openmp,8,dynamic,1,1024,105775104,14,0.028209
forte,openmp,8,dynamic,1,1024,105775104,15,0.029024
forte,openmp,8,dynamic,4,1024,105775104,1,0.029263
forte,openmp,8,dynamic,4,1024,105775104,2,0.029226
forte,openmp,8,dynamic,4,1024,105775104,3,0.029006
forte,openmp,8,dynamic,4,1024,105775104,4,0.028443
forte,openmp,8,dynamic,4,1024,105775104,5,0.029170
forte,openmp,8,dynamic,4,1024,105775104,6,0.028120
